word,type,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
abase,verb,/əˈbeɪs/,/əˈbeɪs/,"to humiliate, degrade","After being overthrown and abased, the deposed leader offered to bow down to his conqueror.","làm nhục, sỉ nhục, hạ thấp","humiliate, demean, degrade","exalt, elevate, dignify"
abate,verb,/əˈbeɪt/,/əˈbeɪt/,"to reduce, lessen","The rain poured down for a while, then abated.","ngớt, giảm bớt, dịu đi","subside, diminish, wane","intensify, augment, escalate"
abdicate,verb,/ˈæbdɪkeɪt/,/ˈæbdɪkeɪt/,"to give up a position, usually one of leadership","When he realized that the revolutionaries would surely win, the king abdicated his throne.","thoái vị, nhường ngôi, từ bỏ vương vị","relinquish, renounce, cede","assume, claim, usurp"
abduct,verb,/æbˈdʌkt/,/æbˈdʌkt/,"to kidnap, take by force",The evildoers abducted the fairy princess from her happy home.,"bắt cóc, cướp người","kidnap, seize, hijack","release, liberate, return"
aberration,noun,/ˌæbəˈreɪʃən/,/ˌæbəˈreɪʃən/,something that differs from the norm,"In 1918, the Boston Red Sox won the World Series, but the success turned out to be an aberration, and the Red Sox have not won a World Series since.","Sự bất thường, Dị thường, Sự sai lệch","anomaly, deviation, oddity","norm, standard, regularity"
abet,verb,/əˈbɛt/,/əˈbɛt/,"to aid, help, encourage",The spy succeeded only because he had a friend on the inside to abet him.,"tiếp tay, giúp sức, hỗ trợ","foment, instigate, incite","thwart, stymie, impede"
abhor,verb,/əbˈhɔː/,/əbˈhɔːr/,"to hate, detest","Because he always wound up kicking himself in the head when he tried to play soccer, Oswald began to abhor the sport.","căm ghét, ghét bỏ, ghê tởm","execrate, loathe, abominate","venerate, revere, exalt"
abide,verb,/əˈbaɪd/,/əˈbaɪd/,1. to put up with 2. to remain,"Though he did not agree with the decision, Chuck decided to abide by it.","tuân thủ, tồn tại, trường tồn","brook, endure, tolerate","spurn, resist, flout"
abject,adjective,/ˈæbdʒɛkt/,/ˈæbdʒɛkt/,"wretched, pitiful","After losing all her money, falling into a puddle, and breaking her ankle, Eloise was abject.","khốn khổ, thảm hại, cùng khổ","ignoble, servile, craven","exalted, august, imperious"
abjure,verb,/əbˈdʒʊə/,/æbˈdʒʊr/,"to reject, renounce","To prove his honesty, the President abjured the evil policies of his wicked predecessor.","Từ bỏ, khước từ, bác bỏ","repudiate, recant, renounce","espouse, champion, embrace"
abnegation,noun,/ˌæbnɪˈɡeɪʃn̩/,/ˌæbnɪˈɡeɪʃən/,denial of comfort to oneself,"The holy man slept on the floor, took only cold showers, and generally followed other practices of abnegation.","khổ hạnh, hành xác","renunciation, asceticism, self-sacrifice","indulgence, acceptance, gratification"
abort,verb,/əˈbɔːt/,/əˈbɔːrt/,to give up on a half-finished project or effort,"After they ran out of food, the men, attempting to jump rope around the world, had to abort and go home.","bỏ dở, từ bỏ, chấm dứt","terminate, cease, cancel","initiate, commence, continue"
abridge,"verb, adjective",/əˈbrɪdʒ/,/əˈbrɪdʒ/,"1. to cut down, shorten 2. shortened",The publisher thought the dictionary was too long and abridged it.,"rút ngắn, tóm tắt, rút gọn","condense, shorten, truncate","expand, lengthen, elaborate"
abrogate,verb,/ˈæbrəɡeɪt/,/ˈæbrəˌɡeɪt/,"to abolish, usually by authority",The Bill of Rights assures that the government cannot abrogate our right to a free press.,"Bãi bỏ, Hủy bỏ","annul, revoke, repeal","institute, enact, uphold"
