word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
abate,verb,c2,/əˈbeɪt/,/əˈbeɪt/,"Reduce, diminish",The storm finally began to abate after several hours of relentless rain.,"Giảm, Bớt, Dịu đi","mitigate, subside, alleviate","intensify, augment, exacerbate"
abdicate,verb,c2,/ˈæbdɪkeɪt/,/ˈæbdɪkeɪt/,Formally give up the throne (or some other power or responsibility),King Edward VIII chose to abdicate the throne to marry the woman he loved.,"Thoái vị, Nhường ngôi, Từ bỏ","relinquish, renounce, cede","usurp, assume, retain"
aberrant,adjective,c2,/æˈbɛrənt/,/æˈbɛrənt/,"Abnormal, deviant",His aberrant behavior at the party raised concerns among his friends.,"Bất thường, Lệch lạc, Sai lệch","anomalous, idiosyncratic, deviant","orthodox, conventional, standard"
abhor,verb,c2,/əbˈhɔː/,/æbˈhɔːr/,"Detest, regard with disgust",She abhors cruelty to animals and volunteers at a local shelter.,"căm ghét, ghê tởm, kinh tởm","detest, loathe, execrate","adore, cherish, revere"
abjure,verb,c2,/æbˈdʒʊə/,/æbˈdʒʊər/,"Give up, renounce; repudiate, recant, or shun (especially formally or under oath)",He was forced to abjure his former beliefs in order to join the new political party.,"Từ bỏ, Chối bỏ, Từ khước","renounce, repudiate, recant","espouse, affirm, uphold"
abrasive,adjective,c2,/əˈbreɪsɪv/,/əˈbreɪsɪv/,"Rough, suitable for grinding or polishing (such as sandpaper); causing irritation or annoyance",His abrasive style can turn people away.,"Nhám, Mài mòn, Gắt gao","caustic, acerbic, scathing","conciliatory, diplomatic, mollifying"
abridge,verb,c2,/əˈbrɪdʒ/,/əˈbrɪdʒ/,Reduce or lessen; shorten by omitting parts throughout while retaining the main idea,The book was abridged for children.,"Rút ngắn, Giản lược, Tóm tắt","condense, truncate, curtail","expand, elaborate, amplify"
abstain,verb,c2,/əbˈsteɪn/,/əbˈsteɪn/,"Hold back, refrain (especially from something bad or unhealthy); decline to vote",He took a vow to abstain from alcohol/smoking/sex.,"Kiêng cữ, Tiết chế, Không bỏ phiếu","refrain, forgo, eschew","indulge, partake, succumb"
acme,noun,c2,/ˈækmi/,/ˈækmi/,"Summit, peak, highest point",To act on this world-famous stage is surely the acme of any actor's career.,"đỉnh cao, tột đỉnh, cực điểm","apex, zenith, pinnacle","nadir, trough, base"
activism,noun,c2,/ˈæktɪvɪzəm/,/ˈæktɪvɪzəm/,"The practice of pursuing political or other goals through vigorous action, often including protests and demonstrations",The levels of political activism in this country have greatly declined.,"Vận động, Phong trào, Đấu tranh","advocacy, militancy, agitation","passivity, apathy, acquiescence"
